Tag;English_Source
TakeSides_MilitaryDemands_Content;Because the town voted to construct a Barracks, the occupying garrison has issued strict demands. At the start of this round, any player with a Caretaker on the Barracks must place that Caretaker into <b>Lost</b>.
TakeSides_MilitaryService_Title;<b>Military Service</b>
TakeSides_MilitaryService_Content;At the start of this round, return any Caretaker on the Barracks to <b>your Quarters</b>. During this round, each player must take an action at the Barracks to fulfill their service. Any player who does not have a piece on the Barracks at the end of this Generation will lose 5VP.
TakeSides_KnowledgeBonus_Title;<b>Town Investment - Knowledge</b>
TakeSides_KnowledgeBonus_Content;Thanks to the town's investment in academic research, whenever a player takes the University action this round, they gain 1 additional Knowledge cube of their choice.
TakeSides_IngredientBonus_Title;<b>Town Investment - Ingredients</b>
TakeSides_IngredientBonus_Content;Thanks to the town's investment in supply depots, whenever a player takes the Farmers Market or Hardware Store action this round, they may gain 1 additional Ingredient of their choice for $1.
TakeSides_WealthBonus_Title;<b>Town Investment - Wealth</b>
TakeSides_WealthBonus_Content;Thanks to the town's investment in commerce, whenever a player takes the Bank action this round, they gain $1 additional.
TakeSides_End_Title;<b>End of Round</b>
TakeSides_End_Content;When all players have passed and the round has ended:
RumorD_Title;<b>Whispers in the Hall</b>
RumorD_Content;{{0=|You slip a scholar's treatise across the clerk's desk in exchange for access to the private parlor, where townsfolk speak in hushed tones.|After sharing your research notes with the local magistrate, you linger in the corridor and overhear two conversations unfolding nearby.|In the dim light of the archives, your contribution of knowledge earns you a seat beside the town's most well-connected gossips.|The tavern adjacent to the Town Hall is alive with intrigue. You lean in close as two separate groups debate the war's progress.}}<br /><br />Which conversation do you wish to eavesdrop on?
RumorD_Content1;{{0=|A decorated military officer speaking quietly with a courier.|A hooded figure clutching a satchel of coded dispatches.|A wild-eyed hermit muttering about visions of the future.|A fiery rebel organizer rallying dockworkers in the corner.|An aristocratic diplomat sipping wine with the town banker.|A wealthy industrialist proposing a grand civic investment.}}
RumorD_Content2;{{0=|A decorated military officer speaking quietly with a courier.|A hooded figure clutching a satchel of coded dispatches.|A wild-eyed hermit muttering about visions of the future.|A fiery rebel organizer rallying dockworkers in the corner.|An aristocratic diplomat sipping wine with the town banker.|A wealthy industrialist proposing a grand civic investment.}}
TownHallSpecial_Title;<b>Village Meeting</b>
TownHallSpecial_Content;As the Early Years draw to a close, the magistrate summons the prominent families of the valley to an emergency session at the Town Hall.<br /><br />In the crowded assembly chambers, representatives from every walk of life trade rumors and lobby for the village's future. Starting with the player holding the Storybook token and proceeding clockwise, each player will have a chance to privately investigate one of the conversations taking place.
TownHallS1_Title;<b>Private Investigation</b>
TownHallS1_Content;Hand the Storybook to <b>{{0=player}}</b>.<br /><br />As the assembly debates in the main hall, you notice two intriguing conversations nearby. Which do you choose to investigate?
TownHallS1_Content1;{{0=|A decorated military officer speaking quietly with a courier.|A hooded figure clutching a satchel of coded dispatches.|A wild-eyed hermit muttering about visions of the future.|A fiery rebel organizer rallying dockworkers in the corner.|An aristocratic diplomat sipping wine with the town banker.|A wealthy industrialist proposing a grand civic investment.}}
TownHallS1_Content2;{{0=|A decorated military officer speaking quietly with a courier.|A hooded figure clutching a satchel of coded dispatches.|A wild-eyed hermit muttering about visions of the future.|A fiery rebel organizer rallying dockworkers in the corner.|An aristocratic diplomat sipping wine with the town banker.|A wealthy industrialist proposing a grand civic investment.}}
RumorD1_Title;<b>Secret Information</b>
RumorD1_Content;Read the following passage in secret. Do not share its contents with the other players unless you wish to.
RumorD1_Reveal_Title;<b>The Officer's Dispatch</b>
RumorD1_Reveal_Content;You edge closer to the military officer as he unseals a dispatch bearing the {{0=crestIcon}} crest of the <b>{{1=warwinner}}</b>.<br /><br />{{2=?|'Our supply lines are stretched thin,' the officer whispers grimly. 'If they push toward the valley, our defenses will crumble and the town will be reduced to rubble.'|'Reinforcements have arrived at the front,' the officer smiles coldly. 'When the offensive begins, our banner will fly uncontested over this entire province.'}}<br /><br />Before departing, the officer notices your interest and presses a {{0=crestIcon}} token into your palm. 'Keep this safe. Our allies will be rewarded when the time comes.'
RumorD1_Setup_Content;Gain the {{0=crestIcon}} token from the supply and place it in your play area.
RumorD2_Title;<b>Secret Information</b>
RumorD2_Content;Read the following passage in secret. Do not share its contents with the other players unless you wish to.
RumorD2_Reveal_Title;<b>Coded Dispatches</b>
RumorD2_Reveal_Content;The hooded courier glances over his shoulder before sliding a velvet pouch across the table. Inside gleams a {{0=figIcon}} token used by underground agents to identify covert cells.<br /><br />'The tide is turning in the shadows,' the courier murmurs. 'Hold onto this {{0=figIcon}} token. Those who carry our mark will find doors opened when the occupation begins.'
RumorD2_Setup_Content;Gain the {{0=figIcon}} token from the supply and place it in your play area.
RumorD3_Title;<b>Secret Information</b>
RumorD3_Content;Read the following passage in secret. Do not share its contents with the other players unless you wish to.
RumorD3_Reveal_Title;<b>The Aristocrat's Confession</b>
RumorD3_Reveal_Content;Over a glass of vintage port, the Monarchist diplomat confides in the town banker. 'The Crown's coffers are nearly exhausted, yet our generals insist on one decisive campaign. Those who pledge to the Unified Monarchists now will be handsomely compensated at the upcoming assembly.'{{0=?|<br /><br />He lowers his voice further. 'Should the Separatists prevail, however, rumor has it their commanders will show no quarter to anyone who refuses them.'|}}
RumorD4_Title;<b>Secret Information</b>
RumorD4_Content;Read the following passage in secret. Do not share its contents with the other players unless you wish to.
RumorD4_Reveal_Title;<b>The Rebel's Promise</b>
RumorD4_Reveal_Content;The Separatist organizer pounds his fist softly on the table. 'The people are tired of royal taxes and conscription! When the town votes on the military garrison, every citizen who stands with the Separatists will receive a share of the liberated treasury.'
RumorD5_Title;<b>Secret Information</b>
RumorD5_Content;Read the following passage in secret. Do not share its contents with the other players unless you wish to.
RumorD5_Reveal_Title;<b>Visions of Tomorrow</b>
RumorD5_Reveal_Content;The wild-eyed hermit grabs your sleeve with trembling fingers, pressing a hand-carved wooden figure <icon=S3_WoodenFigureToken> into your hand.<br /><br />{{0=?|'I have seen the sky tear open!' he rasps. 'Fire and ash will swallow this town, and then... time itself will bend backward upon its own gears!'|'I have seen boots marching down every cobblestone street!' he whispers. 'Iron law and banners of war will rule this valley for a generation!'}}
RumorD5_Setup_Content;Gain a <icon=S3_WoodenFigureToken> token from the supply and place it in your play area.
RumorD6Guns_Title;<b>Secret Information</b>
RumorD6Guns_Content;Read the following passage in secret. Do not share its contents with the other players unless you wish to.
RumorD6Guns_Reveal_Title;<b>A Civic Proposal</b>
RumorD6Guns_Reveal_Content;The wealthy industrialist spreads a set of blueprints across the table. 'With war approaching, the town council has surplus funds to invest in one major sector of our local economy. As a respected scholar, your recommendation will decide where the magistrate directs the funding.'<br /><br />Which civic investment do you endorse?
RumorD6Guns_Reveal_Content1;{{0=|Fund the University archives to advance <b>Knowledge</b>.|Expand the regional warehouses to secure <b>Ingredients</b>.|Subsidize the town bank to stimulate <b>Wealth</b>.}}
RumorD6Guns_Reveal_Content2;{{0=|Fund the University archives to advance <b>Knowledge</b>.|Expand the regional warehouses to secure <b>Ingredients</b>.|Subsidize the town bank to stimulate <b>Wealth</b>.}}
RumorD6Confirm_Title;<b>Proposal Endorsed</b>
RumorD6Confirm_Content;The industrialist nods approvingly and seals your recommendation into an official ledger. '{{0=|The University will receive the council's full backing.|Our supply depots will be stocked with the finest ingredients.|The town bank will open new lines of credit immediately.}}'
RumorCreep_Title;<b>Unsettling Encounter</b>
RumorCreep_Content;As you step away from the hermit, a cold shiver runs down your spine. His ravings about fractured timelines and approaching doom linger in your thoughts all the way back to your estate.
RumorCreep_Setup_Content;Advance your Insanity Marker 1 space on the Insanity Track <icon=Creepy_Icon>.
RumorIngredient_Title;<b>Surplus Supplies</b>
RumorIngredient_Content;On your way out of the Town Hall, a grateful quartermaster offers you a crate of surplus materials left behind by a passing supply wagon.
RumorIngredient_Setup_Content;Gain 1 Ingredient of your choice from the supply.
RumorKnowledge_Title;<b>Forgotten Notes</b>
RumorKnowledge_Content;While perusing the Town Hall records, you discover a bundle of correspondence left behind by a visiting natural philosopher.
RumorKnowledge_Setup_Content;Gain 1 Knowledge cube of your choice from the supply.
RumorPitch_Title;<b>ALucrative Buyer</b>
RumorPitch_Content;A military procurement agent approaches you on the steps of the Town Hall, offering hard coin in exchange for any theoretical schematics you are willing to part with.
RumorPitch_Setup_Content;You may discard 1 Experiment card to gain $3 from the supply.
GunsAnnouncement_Title;<b>An Investment in {{0=townName}}</b>
GunsAnnouncement_Content;Before adjourning the assembly, the magistrate announces the council's new economic initiative for <b>{{0=townName}}</b>:<br /><br />'{{1=|By order of the town council, additional grants have been awarded to the University! Scholars studying there will gain extra Knowledge.|By order of the town council, our markets and depots have been expanded! Citizens may purchase extra Ingredients when visiting town shops.|By order of the town council, the local bank has been subsidized! Citizens visiting the Bank will receive additional funds.}}'
TakeEvent_Title;<b>Military Protection</b>
TakeEvent_Content;As the Middle Years conclude, a battalion of the <b>{{0=warwinner}}</b> marches into the town square. Their commander demands that the village construct a fortified <b>Barracks</b> to house their troops against the <b>{{1=warloser}}</b>.<br /><br />The magistrate calls an immediate vote. Players will now secretly bid money in their hand (including $0) and simultaneously reveal their bids. Each player also states whether they are voting <b>Yay</b> (to build the Barracks) or <b>Nay</b> (against building the Barracks). Add up the total money bid for each side to determine the outcome.
TakeEventb_Title;<b>Votes Tallied</b>
TakeEventb_Content;Count the total coin bid for each side (in case of a tie, the player with the Storybook token decides). What was the result of the town vote?
TakeEventb_Content1;Yay. We voted to build a Barracks.
TakeEventb_Content2;Nay. We voted against.
ResolutionofEvent_Title;<b>The Town's Reaction</b>
ResolutionofEvent_Content;{{1=?|With the funds secured, construction on the new Barracks begins immediately. The <b>{{0=warwinner}}</b> commander commends the town's loyalty, though many villagers eye the new garrison with unease.|The town council formally rejects the proposal to build a Barracks. The <b>{{0=warwinner}}</b> commander storms out of the hall, warning that the village will have to fend for itself when the fighting reaches the valley.}}<br /><br />{{2=|In a 2-player game, each player may now claim 1 Flag token representing the faction they supported during the vote.|Each player may now claim 1 Flag token representing the faction they supported during the vote.}}
ResolutionofEvent_Setup_Content;{{2=?|All players who voted <b>Yay</b> pay the money they bid and may take a <b>{{0=warwinner}}</b> Flag token. Players who voted <b>Nay</b> keep their money and may take a <b>{{1=warloser}}</b> Flag token.|All players who voted <b>Nay</b> pay the money they bid and may take a <b>{{1=warloser}}</b> Flag token. Players who voted <b>Yay</b> keep their money and may take a <b>{{0=warwinner}}</b> Flag token.}}<br /><br />{{3=||Each player with a Separatists Flag token gains $2.|Each player with a Separatists Flag token gains 1 Creepy <icon=Creepy_Icon>.}}<br />{{4=||Each player with a Unified Monarchists Flag token gains 2VP.|Each player with a Unified Monarchists Flag token must discard 1 Resource.}}
TakeEventFlag_Title;<b>Change of Allegiance</b>
TakeEventFlag_Content;Unexpectedly, a sudden counter-offensive shifts the front lines overnight!{{2=?| Despite the newly built Barracks, the <b>{{0=warwinner}}</b> garrison is forced to withdraw as forces of the <b>{{1=warloser}}</b> sweep into the region.| Emboldened by the town's refusal to build a garrison for the <b>{{0=warwinner}}</b>, vanguard units of the <b>{{1=warloser}}</b> march into town and raise their banner over the Town Hall!}}
TakeEventFlag_Setup_Content;Replace the <b>{{0=warwinner}}</b> Flag token on the Town Hall with the <b>{{1=warloser}}</b> Flag token.
TakeSides3Setup_Content;{{0=?|Turn to page <b>2</b> of the Village Chronicle.<br /><br />Each player takes 1 Caretaker from <b>Lost</b> and places it on the newly constructed <b>Barracks</b> location on the Village Chronicle.|Turn to page <b>3</b> of the Village Chronicle.}}
TSBarracksPenalty_Title;<b>Lack of Service Penalty</b>
TSBarracksPenalty_Content;The garrison commander inspects the Barracks roster as the generation comes to an end. Any player who still has a Caretaker remaining in their Quarters or on the Barracks without having fulfilled the required Military Service loses <b>5VP</b>.
SeedGUNS_Title;<b>{{0=|Knowledge Bonus|Ingredient Bonus|Wealth Bonus}}</b>
SeedGUNS_Content;The council's civic investment earlier in the generation has borne fruit!{{0=| The University's expanded archives have elevated the prestige of the most learned scholars in the valley.| The overflowing supply depots have rewarded those who stockpiled the rarest alchemical ingredients.| The thriving town bank has paid out handsome dividends to the wealthiest estates.}}
SeedGUNS_Setup_Content;The player with the most {{1=|Knowledge cubes|Ingredients|Money}} (in case of a tie, all tied players) gains <b>{{0=vp}}VP</b>!
Warwarn_Title;<b>WARNING</b>
Warwarn_Content;<b>IMPORTANT:</b> During the upcoming End of Generation cleanup, <b>do NOT discard your completed Experiments</b>! Keep all completed Experiments from this Generation face-up near your play area, as they will be checked at the start of the next Generation.
TowardsDev_Title;<b>Under Unfortunate Circumstances</b>
TowardsDev_Content;{{1=?|Despite the fortifications of the Barracks, the war erupts with unimaginable ferocity.|Without a Barracks to defend the valley, the town is caught completely unprepared when the artillery barrages begin.}} Armies of the <b>{{0=warwinner}}</b> and their rivals clash directly in the streets of our village.<br /><br />Shells rain down upon the cobblestones, reducing shops, estates, and laboratories to smoldering ruins. As the fires consume a lifetime of research, you lock your journals inside the estate vault and flee into the night.
TowardsDev_EndGen_Content;Perform all standard End of Generation steps, <b>EXCEPT do not discard your completed Experiments</b>.<br /><br />Once you are ready to proceed to Generation II, click Confirm.
TowardsWar_Title;<b>A Town Fully Defended</b>
TowardsWar_Content;{{1=?|Bolstered by the town's Barracks, the regiments of the <b>{{0=warwinner}}</b> repel the enemy offensive at the valley border!|Despite the lack of a local Barracks, the main army of the <b>{{0=warwinner}}</b> crushes the opposition before the fighting can damage the village!}}<br /><br />As the dust settles, the victorious <b>{{0=warwinner}}</b> declare martial law across the entire province. Their banners hang from every lamppost, and a permanent military governor is appointed to oversee our town for the next generation.
TowardsWar_EndGen_Content;Perform all standard End of Generation steps.<br /><br />Once you are ready to proceed to Generation II, click Confirm.
TimeTravelintro_Title;<b>A Town in Shambles</b>
TimeTravelintro_Content;Decades have passed since the bombardment, yet the valley remains a scarred wasteland of collapsed roofs and blackened stone. Returning to your ancestral estate, you uncover the subterranean vault left behind by your predecessor.
TimeTravelintro_0_Content;Turn to page <b>12</b> in the Village Chronicle.
TimeTravelintro1_SubTitle;A Return to Devastation
TimeTravelintro1_Content;Inside the vault, amid the dust and shattered glassware, stands a towering contraption of brass coils, chronometric gears, and glowing vacuum tubes. Beside it lies your parent's final journal.<br /><br />The notes describe an audacious plan: to harness temporal energy and journey back to the fateful days before the war destroyed the village, altering history itself!
TimeTravelIntro2_Title;<b>A Well Timed Discovery</b>
TimeTravelIntro2_Content;{{0=|Both of your families have independently uncovered temporal apparatus beneath your estates.|All three of your families have uncovered interconnected temporal apparatus beneath your estates.|All four of your families have uncovered interconnected temporal apparatus beneath your estates.}} Before activating the machine, you examine the completed Experiments from the previous Generation to see if anyone managed to perfect the prototype before the town fell.
TimeMachineExperiment_Title;<b>A Time Machine... But, I Thought...?</b>
TimeMachineExperiment_Content;Did any player complete the <b>'Time Machine'</b> A Experiment during Generation I? (Check all completed Experiments from Generation I, then discard all completed Experiments from Generation I as normal.)
TMReplace_Title;<b>A Time Loop Created</b>
TMReplace_Content;Incredible! Because the Time Machine Experiment was already completed in the past, its resonant chronal field has anchored itself across timelines, transforming the prototype into a true Masterwork!
TMReplace_0_Content;The player who completed the 'Time Machine' Experiment in Generation I retrieves the <b>Time Machine Masterwork Upgrade</b> <icon=S3_MWUpgradeTimeMaching> from the Scenario Box and places it on their Masterwork space, replacing one of their Masterwork requirements!
TTIntro3_Title;<b>To the Past</b>
TTIntro3_Content;With a deafening roar of arc lightning, you throw the master switch! The ruined walls of your laboratory dissolve into a swirling vortex of light and memory.<br /><br />When the dizziness subsides, you step out onto the balcony—and gasp. The church spire stands whole, the markets are bustling with life, and the war has not yet reached the valley! You have returned to the exact moment the crisis began, armed with knowledge of the future.
TimeTokens_Title;<b>The Chance of Paradox</b>
TimeTokens_Content;Meddling with the timeline carries grave risks. Whenever you alter events or interact with forces that already existed in your past, temporal anomalies—known as <b>Paradoxes</b>—will accumulate around your estate.
TimeTokens_0_Content;Place all <b>Paradox tokens</b> <icon=S3_ParadoxToken> in a supply near the board.<br /><br />Each player takes <b>2 Paradox tokens</b> <icon=S3_ParadoxToken> and places 1 on any Experiment card in their hand or play area and 1 in their personal play area. Whenever you complete or discard an Experiment with a Paradox token on it, that Paradox token moves to your personal play area.
TimeTravelSetup_Content;Turn to page <b>13</b> in the Village Chronicle.<br /><br />Flip all Masterwork cards face-down (they cannot be completed in the normal manner while the timeline is unstable).<br /><br />Move the Angry Mob token 1 space to the left on the Insanity Track.<br /><br />{{0=?|Because this is a 3-player game, pass the Starting Player (Storybook token) 1 player to the left.<br /><br />|}}Each player takes their second Caretaker from <b>Lost</b> and places it in the Quarters of their Estate.
TimeTravel_Title;Tides of War 2
TimeTravel_MilitaryDemands_Title;<b>Military Demands</b>
TimeTravel_MilitaryDemands_Content;Because the Barracks was built in this altered timeline, during the Late Years every player must take at least one action at the Barracks (this action provides no benefit other than fulfilling your military obligation). Any player who does not have a piece on the Barracks at the end of the round will lose 5VP.
TimeTravel_RepairTimeMachine_Title;<icon=StorybookToken> <b>Repair the Time Machine</b>
TimeTravel_RepairTimeMachine_Content;The temporal jump damaged the chronal core of your Time Machine. If the players collectively collect all 3 <b>Time Machine Repairs</b> cards and spend an action to assemble them, the machine can be fully repaired.
TimeTravel_RepairTimeMachine_ClickHere;Click here once the Time Machine has been repaired
TimeTravel_ParadoxExplanation_Title;<icon=StorybookToken> <b>Paradox Explanation</b>
TimeTravel_ParadoxExplanation_Content;Need a reminder of how Paradox tokens <icon=S3_ParadoxToken> work and how to remove them from your play area?
TimeTravel_ParadoxMending_Title;<icon=StorybookToken> <b>Paradoxical Mending Reward</b>
TimeTravel_ParadoxMending_Content;The first player to completely clear all Paradox tokens <icon=S3_ParadoxToken> from their play area and Experiments may claim a special temporal reward.
TimeTravel_ParadoxMending_ClickHere;Click here when a player has zero Paradox tokens
TimeTravel_End_Title;<b>End of Round</b>
TimeTravel_End_Content;When all players have passed and the round has ended:
ParadoxExReminder_Title;<b>Removing Paradox</b>
ParadoxExReminder_Content;<b>Paradox Rules Reminder:</b><br /><br />- Whenever you complete or discard an Experiment that has a Paradox token <icon=S3_ParadoxToken> on it, place that token into your play area.<br />- You may remove 1 Paradox token from your play area whenever you take an action at the Church or when an effect instructs you to discard a Paradox token.<br />- Having too many Paradox tokens at the end of the Generation may fracture the timeline!
TriggerParadox_Title;<b>Ease of Anxiety</b>
TriggerParadox_Content;As the last temporal anomaly fades from your laboratory, the oppressive buzzing in your ears finally ceases. Your mind feels sharper than ever, unburdened by the weight of conflicting timelines.
TriggerParadox_0_Content;Gain <b>{{0=vp}}VP</b> and <b>1 Knowledge cube</b> of your choice from the supply!
ATimeMachineRepaired_Title;<b>A Vehicle Through Time</b>
ATimeMachineRepaired_Content;With the final chronometric coil locked into place, the Time Machine hums with steady, harmonious power! No matter what happens to the village at the end of this Generation, your escape route through the timestream is now secure.
FixIt_Title;<b>Accidental Discovery</b>
FixIt_Content;While calibrating your instruments at the end of the Early Years, you realize that several crucial components of the Time Machine were scattered across the village during your arrival!
FixIt_0_Content;Retrieve the 3 <b>Time Machine Repairs</b> <icon=S3_TimeMachineRepairs> cards from the Scenario Box and place them face-up near the Village Chronicle so players can acquire them during the Middle and Late Years.
Militarytoken_Title;<b>Secret Information</b>
Militarytoken_Content;If any player currently holds the {{0=crestIcon}} token from Generation I, hand the Storybook to that player to read the next passage in secret.
Militarytoken_0_Title;<b>Duplicitous Duplicate</b>
Militarytoken_0_Content;While walking through the mist outside the Town Hall, you freeze in horror—standing under the streetlamp is your own past self, clutching the {{0=crestIcon}} token given to you by the military officer!<br /><br />Did you follow the officer's orders and use that token to aid their cause, or did you defy them?
Militarytoken_0_Content1;I followed.
Militarytoken_0_Content2;I did Not follow.
MilitaryYes_Title;<b>Paradox Averted</b>
MilitaryYes_Content;Careful not to be seen by your younger self, you slip the {{0=crestIcon}} token into the courier's drop-box just as history recorded, preventing a dangerous temporal rupture.
MilitaryYes_0_Content;You may discard 1 Experiment card along with any Paradox token <icon=S3_ParadoxToken> on it, then return the {{0=crestIcon}} token to the Scenario Box.
MilitaryNo_Title;<b>Compulsions</b>
MilitaryNo_Content;You step out of the shadows and intercept the courier before he can reach your younger self! History fractures around you, flooding your mind with fractured memories and new experimental possibilities.
MilitaryNo_0_Content;Gain <b>1 Body</b> <icon=Bodies_Icon>, draw <b>2 Experiment cards</b> of your choice, and gain <b>1 Paradox token</b> <icon=S3_ParadoxToken>. Return the {{0=crestIcon}} token to the Scenario Box.
TownHallOpposite_Title;<b>Military Protection</b>
TownHallOpposite_Content;Thanks to your subtle manipulation of the timeline during the Middle Years, the town's military vote unfolds in the exact opposite manner of your original memories!{{2=?|<br /><br />Where once a mighty Barracks stood, the council votes down the proposal, leaving the <b>{{0=warwinner}}</b> furious as the <b>{{1=warloser}}</b> gain influence.|<br /><br />Where once the village refused to build a garrison, the council now enthusiastically constructs a fortified <b>Barracks</b> for the <b>{{0=warwinner}}</b>!}}
SeedResolution_Title;<b>{{0=|A Place of Knowledge|A Wealth of Goods|An Investor's Paradise}}</b>
SeedResolution_Content;Ripples from the civic investment made in the previous timeline echo through the village!{{0=| The University archives overflow with treatises that shouldn't exist for another decade.| The market stalls groan under the weight of exotic ingredients brought in by temporal trade winds.| The local bank's ledgers show mysterious compound interest accrued across timelines.}}
SeedResolution_0_Content;Starting with the player holding the Storybook token and proceeding clockwise, each player gains <b>{{0=|1 Knowledge cube of their choice|1 Ingredient of their choice|$2}}</b> and draws <b>1 Compulsion card</b> <icon=CompulsionBack>.
BlameGameEvent_Title;<b>Paradoxical Dilemma</b>
BlameGameEvent_Content;Suddenly, counter-intelligence agents of the <b>{{0=warwinner}}</b> surround the Town Hall! They have detected temporal anomalies and suspect that one of the prominent estates is sabotaging their war effort.<br /><br />Each player will be interrogated in private. During your interrogation, you may choose to remain silent or point the finger of blame at one of your fellow players!
TwoPBlameGameEvent_Title;<b>The Dilemma</b>
TwoPBlameGameEvent_Content;In a 2-player game, this interrogation functions as a classic Prisoner's Dilemma:<br /><br />- If <b>both players remain silent</b>, everyone will be rewarded at the start of the next Generation.<br />- If <b>one player blames the other</b> while the other stays silent, the blamed player will suffer a severe penalty.<br />- If <b>both players blame each other</b>, the investigators will punish both estates!
ShowBlameHandDevice_Title;<b>Private Interrogation</b>
ShowBlameHandDevice_Content;Hand the Storybook to <b>{{0=player}}</b> and ensure no other players can see the screen.
BlameInterrogation_Title;<b>Interrogation</b>
BlameInterrogation_Content;The chief investigator slams a folder onto the desk and glares at you across the lamp-lit room.<br /><br />'Before we discuss the sabotage in town, let us establish your credentials. Do you currently possess a <b>{{0=warwinner}}</b> Flag token?'
BlameInterrogation_Content1;Yes, I do. Why do you ask?
BlameInterrogation_Content2;No, I do not.
Blame1b_Title;<b>Offer</b>
Blame1b_Content;The investigator leans forward and taps his coin purse. 'A pity. However, for a modest contribution of <b>$2</b> to our war chest right now, I can issue you an official <b>{{0=warwinner}}</b> Flag token on the spot. Do we have a deal?'
Blame1b_Content1;Yes, I accept. (Pay $2)
Blame1b_Content2;Sorry. I must sadly decline.
Blame1c_Title;<b>Passing the Blame</b>
Blame1c_Content;The investigator opens his ledger. 'Now then—someone in this valley has been tampering with forces beyond comprehension. Tell us who is responsible, or hold your tongue and share in the suspicion. What is your choice?'
Blame1c_Content1;To stay silent.
Blame1c_Content2;To blame {{0=targetPlayer}}.
BlameResolve_Title;<b>Determined Resolution</b>
BlameResolve_Content;All interrogations have concluded. Return the Storybook to the Starting Player as the investigators step onto the steps of the Town Hall to announce their findings.
BlameResolve_BuySetup_Content;{{1=?|The player who purchased a Flag token during interrogation takes 1 <b>{{0=warwinner}}</b> Flag token from the supply.|Each player who purchased a Flag token during interrogation takes 1 <b>{{0=warwinner}}</b> Flag token from the supply.}}{{2=||<br /><br />Each player who gained a Separatists Flag token also gains $2!|<br /><br />Each player who gained a Unified Monarchists Flag token also gains 2VP!}}
BlameOut1_Title;<b>Diverting Their Attentions</b>
